id,created_at,updated_at,activity,reference,expiry,userId
1072,2021-03-30 18:02:28.412786,2021-03-30 18:02:28.412786,Accessed Session 5 - Assets from Intro to Game Dev with Unity repo [access:141012aa424::rrtGJAd2ae1e],d733db8a11b8f1e1cb48f973e0faa156,2022-03-31 00:02:28,69
1073,2021-03-30 18:03:07.101226,2021-03-30 18:03:07.101226,Accessed Session 5 - Assets from Intro to Game Dev with Unity repo [access:141012aa424::rrtGJAd2ae1e],ab4d0839cdc943fff4f4a984c1a40bff,2022-03-31 00:03:07,111
1074,2021-03-30 18:04:52.015387,2021-03-30 18:04:52.015387,Logged in,afbb76f909b1ff011c0066445af47a78,2022-03-31 00:04:52,91
1075,2021-03-30 18:07:53.453182,2021-03-30 18:07:53.453182,Accessed Session 5 - Starter Files from Intro to Game Dev with Unity repo [access:3aadbfd9eca::rrtGJAd2ae1e],cd15dca49f6480c89748e89e8de920c4,2022-03-31 00:07:53,67
1076,2021-03-30 18:07:55.326801,2021-03-30 18:07:55.326801,Accessed Session 5 - Assets from Intro to Game Dev with Unity repo [access:141012aa424::rrtGJAd2ae1e],6b58a20114942ae5095354e12352bce2,2022-03-31 00:07:55,91
1077,2021-03-30 18:08:45.728427,2021-03-30 18:08:45.728427,Accessed Session 5 - Assets from Intro to Game Dev with Unity repo [access:141012aa424::rrtGJAd2ae1e],b66c3df53ccd8f77e43973630e5a48ae,2022-03-31 00:08:46,67
1078,2021-03-30 18:09:31.592358,2021-03-30 18:09:31.592358,Accessed Session 5 - Starter Files from Intro to Game Dev with Unity repo [access:3aadbfd9eca::rrtGJAd2ae1e],1f4fe368ed55fc4925ca93588fd893ed,2022-03-31 00:09:32,91
1079,2021-03-30 18:09:39.721036,2021-03-30 18:09:39.721036,Accessed Session 5 - Assets from Intro to Game Dev with Unity repo [access:141012aa424::rrtGJAd2ae1e],ffe6312b7148f7a32de9a4983fb3150b,2022-03-31 00:09:40,105
1080,2021-03-30 18:10:29.838885,2021-03-30 18:10:29.838885,Logged in,104d46dd7e6e209ef063e96f87146b40,2022-03-31 00:10:30,110
1081,2021-03-30 18:10:39.845195,2021-03-30 18:10:39.845195,Accessed Session 5 - Assets from Intro to Game Dev with Unity repo [access:141012aa424::rrtGJAd2ae1e],25e0f4141eebeed7ef07b9c2b5f02ac4,2022-03-31 00:10:40,110
1082,2021-03-30 18:11:42.143795,2021-03-30 18:11:42.143795,Accessed Session 5 - Assets from Intro to Game Dev with Unity repo [access:141012aa424::rrtGJAd2ae1e],048b7db53e9510343c416a7c42e66d3c,2022-03-31 00:11:42,69
1083,2021-03-30 18:11:58.052590,2021-03-30 18:11:58.052590,Password Reset requested,8c0501d3b16b81702b119dd9ab66e913,2022-03-31 00:11:58,85
1084,2021-03-30 18:13:50.985017,2021-03-30 18:13:50.985017,Password Reset requested,8c7656cc4bcf53bae7b3cc80e9abc47a,2022-03-31 00:13:51,85
1085,2021-03-30 18:16:20.835207,2021-03-30 18:16:20.835207,Logged in,f3fd773192dc841b7309c3db71a68dac,2022-03-31 00:16:21,111
1086,2021-03-30 18:16:28.501346,2021-03-30 18:16:28.501346,Accessed Session 5 - Assets from Intro to Game Dev with Unity repo [access:141012aa424::rrtGJAd2ae1e],e0b2d1eda1f9e6381c2a82bde9b45c2a,2022-03-31 00:16:29,111
1087,2021-03-30 18:18:19.607782,2021-03-30 18:18:19.607782,Accessed Session 5 - Starter Files from Intro to Game Dev with Unity repo [access:3aadbfd9eca::rrtGJAd2ae1e],42c6036091592c42f3e58c9a28936dbd,2022-03-31 00:18:20,91
1088,2021-03-30 19:22:48.194986,2021-03-30 19:22:48.194986,Logged in,f83a9086b061944aa2b8c65d514bbeb1,2022-03-31 01:22:48,1
1089,2021-03-30 19:57:31.815888,2021-03-30 19:57:31.815888,Logged in,fa61336a3ffcd5d057bbd8a477f816de,2022-03-31 01:57:32,67
1090,2021-03-30 19:58:10.158723,2021-03-30 19:58:10.158723,Logged in,05394057e79698abd450a3053b734276,2022-03-31 01:58:10,1
1091,2021-04-01 05:46:28.584097,2021-04-01 05:46:28.584097,Logged in,5c90d855777e6a655aa3ddd0f0dba16f,2022-04-01 11:46:29,106
1092,2021-04-01 05:46:52.658630,2021-04-01 05:46:52.658630,Accessed Session 5 - Assets from Intro to Game Dev with Unity repo [access:141012aa424::rrtGJAd2ae1e],2e6e64a6178c04ebe1d183a2a91f5b58,2022-04-01 11:46:53,106
1093,2021-04-01 05:47:27.761210,2021-04-01 05:47:27.761210,Accessed Session 5 - Starter Files from Intro to Game Dev with Unity repo [access:3aadbfd9eca::rrtGJAd2ae1e],05ed2523c0f254d642b03329fae24d52,2022-04-01 11:47:28,106
1094,2021-04-01 05:49:44.969753,2021-04-01 05:49:44.969753,Accessed Session Four Recap from Intro to Game Dev with Unity repo [access:b4aec5f066b::rrtGJAd2ae1e],bc80f12798b5868c6dd4524eb042af20,2022-04-01 11:49:45,106
1095,2021-04-05 18:20:40.951895,2021-04-05 18:20:40.951895,Logged in,8051d1ab2a5b1930096c2c06105a039f,2022-04-06 00:20:41,111
1096,2021-04-05 18:20:44.958450,2021-04-05 18:20:44.958450,Logged in,4acbb15fd52a6da60ad3027859692062,2022-04-06 00:20:45,111
1097,2021-04-05 18:21:03.639619,2021-04-05 18:21:03.639619,Logged in,b552f287e9bc6d863ef1770b5c3390e8,2022-04-06 00:21:04,67
1098,2021-04-06 08:52:25.567662,2021-04-06 08:52:25.567662,Logged in,e26b169319943ba65f685a5cf85caecd,2022-04-06 14:52:26,67
1099,2021-04-06 15:58:40.344048,2021-04-06 15:58:40.344048,Logged in,a07e8e146c695d98908bbf6dab2a3ffd,2022-04-06 21:58:40,67
1100,2021-04-06 16:44:45.329182,2021-04-06 16:44:45.329182,Logged in,61ba03fbfe206259edb91a9cf5104bf6,2022-04-06 22:44:45,111
1101,2021-04-06 16:44:58.272390,2021-04-06 16:44:58.272390,Accessed Session 6 - Starter Files from Intro to Game Dev with Unity repo [access:4ff849da461::rrtGJAd2ae1e],9aba8615da28cabfd2c6847f377c874a,2022-04-06 22:44:58,111
1102,2021-04-06 17:53:21.751430,2021-04-06 17:53:21.751430,Logged in,6fcea13000ef843d998c0f0570b6dd02,2022-04-06 23:53:22,2
1103,2021-04-06 17:59:40.816347,2021-04-06 17:59:40.816347,Logged in,8a63aa4bbcb52b6ebfa81fbf9ff35af3,2022-04-06 23:59:41,67
1104,2021-04-06 18:01:06.629578,2021-04-06 18:01:06.629578,Logged in,e59ccdf109753e507e9980eec3b543b9,2022-04-07 00:01:07,105
1105,2021-04-06 18:01:23.979038,2021-04-06 18:01:23.979038,Accessed Session 6 - Starter Files from Intro to Game Dev with Unity repo [access:4ff849da461::rrtGJAd2ae1e],6931c83dd32bac0ed8c5fb714ab58404,2022-04-07 00:01:24,105
1106,2021-04-06 18:06:51.661201,2021-04-06 18:06:51.661201,Accessed Session 6 - Starter Files from Intro to Game Dev with Unity repo [access:4ff849da461::rrtGJAd2ae1e],2c9776ac3301e87c585236f335289eb1,2022-04-07 00:06:52,67
1107,2021-04-06 18:23:25.476026,2021-04-06 18:23:25.476026,Logged in,8a307d9e5574f78d9b3f1ed65a4cc722,2022-04-07 00:23:25,69
1108,2021-04-06 18:23:41.523282,2021-04-06 18:23:41.523282,Accessed Session 6 - Starter Files from Intro to Game Dev with Unity repo [access:4ff849da461::rrtGJAd2ae1e],f90b837071c1ff05d10f36e2d245ba50,2022-04-07 00:23:42,69
1109,2021-04-06 18:29:37.857336,2021-04-06 18:29:37.857336,Logged in,190f770c3954d1ee794b56ccba0c02ce,2022-04-07 01:29:38,2
1110,2021-04-06 18:48:43.687112,2021-04-06 18:48:43.687112,Logged in,5c7ed3ad22478b38416adef5b0253c83,2022-04-07 00:48:44,2
1111,2021-04-06 19:03:25.898810,2021-04-06 19:03:25.898810,Accessed Session Four Recap from Intro to Game Dev with Unity repo [access:b4aec5f066b::rrtGJAd2ae1e],1b5afcbad65dd0dca2e3263fc1787007,2022-04-07 01:03:26,2
1112,2021-04-06 19:09:03.164843,2021-04-06 19:09:03.164843,Logged in,21bd1653c0e210f2b3c621727726c2e1,2022-04-07 01:09:03,2
1113,2021-04-06 19:28:34.651745,2021-04-06 19:28:34.651745,Logged in,42c2d8612a58c5fa83d187b79d5ffb9b,2022-04-07 01:28:35,67
1114,2021-04-06 20:08:45.216134,2021-04-06 20:08:45.216134,Logged in,5ad7ae10e69136108db8d3d1febb4b93,2022-04-07 02:08:45,67
1115,2021-04-07 12:09:31.959269,2021-04-07 12:09:31.959269,Logged in,882bbb4f691c08d0ad50f0cf2d79bbb1,2022-04-07 18:09:32,2
1116,2021-04-07 12:12:28.003481,2021-04-07 12:12:28.003481,Logged in,b4682a057bb8fef8729671c972f11f32,2022-04-07 18:12:28,1
1117,2021-04-07 12:19:19.219635,2021-04-07 12:19:19.219635,Accessed Session Four Recap from Intro to Game Dev with Unity repo [access:b4aec5f066b::rrtGJAd2ae1e],a40c237585e87662293bdaa5b024db25,2022-04-07 18:19:19,2
1118,2021-04-08 11:13:07.184370,2021-04-08 11:13:07.184370,Logged in,8d28fda1723f0a1a482a933e20289aee,2022-04-08 17:13:07,2
1119,2021-04-08 11:16:44.376151,2021-04-08 11:16:44.376151,Accessed Session 5 Recap from Intro to Game Dev with Unity repo [access:f2ec33fafc6::rrtGJAd2ae1e],e31c5242de0b5543fedd821af531e1ec,2022-04-08 17:16:44,2
1120,2021-04-08 11:43:12.219764,2021-04-08 11:43:12.219764,Logged in,ebea458c959003ff35a51624e859f824,2022-04-08 17:43:12,2
1121,2021-04-08 12:43:10.895799,2021-04-08 12:43:10.895799,Logged in,ecb220747d35e9dedcf6d84414060b82,2022-04-08 18:43:11,3
1122,2021-04-08 17:17:12.326946,2021-04-08 17:17:12.326946,Logged in,819cba44971b2d402d8d7b84b2f9a8b2,2022-04-08 23:17:12,2
1123,2021-04-08 17:50:09.791725,2021-04-08 17:50:09.791725,Logged in,874fcf089544774d6cf0a5d3c57adcc3,2022-04-08 23:50:10,2
1124,2021-04-08 20:03:25.675307,2021-04-08 20:03:25.675307,Logged in,953bdc41aae1697510b26bc2d261436e,2022-04-09 02:03:26,2
1125,2021-04-08 20:05:23.457644,2021-04-08 20:05:23.457644,Accessed Session 6 Recap from Intro to Game Dev with Unity repo [access:1d9bec2ad95::rrtGJAd2ae1e],530ba27b03673a2bab1dff8109597c4e,2022-04-09 02:05:23,2
